"商品ID","商品名","種類ID","種類名","説明","価格","税率","在庫数","公開状態","表示順","種類在庫数","画像1","画像2","画像3","画像4","画像5","画像6","画像7","画像8","画像9","画像10","画像11","画像12","画像13","画像14","画像15","画像16","画像17","画像18","画像19","画像20","商品重量"
"","【Brand X】X01-C [Pro] / リフォーマー","","","サイズ: 2280×720×1850mm<br>本体重量: 90kg<br>梱包重量: 120kg<br>キャリッジ幅: 312mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","426690","1","99","1","11","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X02-A [Standard] / ハーフタワー","","","サイズ: 2280×720×1850mm<br>本体重量: 110kg<br>梱包重量: 140kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","571230","1","99","1","12","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X02-B [Standard] / ハーフタワー","","","サイズ: 2280×690×1850mm<br>本体重量: 110kg<br>梱包重量: 140kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","519750","1","99","1","13","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X02-C [Premium] / ハーフタワー","","","サイズ: 2280×720×1850mm<br>本体重量: 120kg<br>梱包重量: 150kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","668250","1","99","1","14","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X03-A [Steel] / キャデラック","","","サイズ: 2320×760×1990mm<br>本体重量: 90kg<br>梱包重量: 120kg<br>キャリッジ幅: 550mm","413820","1","99","1","15","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X03-B [Maple] / キャデラック","","","サイズ: 2190×800×2120mm<br>本体重量: 100kg<br>素材: メープル材<br>キャリッジ幅: 635mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","440550","1","99","1","16","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X03-C [Premium] / キャデラック","","","サイズ: 2190×800×2120mm<br>本体重量: 120kg<br>素材: メープル材<br>キャリッジ幅: 635mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","561825","1","99","1","17","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X04-A [Entry] / チェア","","","サイズ: 840×680×615mm<br>本体重量: 45kg<br>梱包重量: 65kg<br>素材: メープル材<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","200475","1","99","1","18","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X04-B [Standard] / チェア","","","サイズ: 840×600×600mm<br>本体重量: 45kg<br>梱包重量: 65kg<br>素材: 天然木<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","200475","1","99","1","19","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X04-C [Pro] / チェア","","","サイズ: 750×600×1300mm<br>本体重量: 45kg<br>梱包重量: 65kg<br>素材: スチール","226710","1","99","1","20","","","","","","","","","","","","","","","","","","","","","",""
